type;id;longitude;latitude;ALTA;ASP;HYDROC;distance
open air;263.1;57987377;476017847;738;306,25;86,91;0
shelter;95.1;58009879;475972164;742;125,54;74,01;89,37
open air;262.1;58012286;476017452;741;356,19;76,88;0
open air;261.1;58022961;476023778;743;234,46;74,93;0
open air;90.1;58040753;476007963;739;90;63,04;0
open air;91.1;58037194;476038011;752;151,7;72,75;0
shelter;265.1;57996526;475967828;743;170,54;79,67;140,2
shelter;76.3;57999461;475954128;746;18,43;79,93;96,89
shelter;76.2;58005344;475944425;747;75,47;77,14;46,15
shelter;76.1;58002694;475938027;752;68,2;79,51;72,19
shelter;267.1;58004580;475956003;743;47,86;77,43;182,33
shelter;266.1;57999763;475958479;742;32,01;80,39;153,08
open air;268.1;58050242;475911490;742;309,56;59;0
open air;88.1;58090571;475948656;722;166,61;32,62;0
open air;150.1;58135051;476078043;735;124,7;68,04;0
open air;75.1;58134457;476065886;729;141,34;62,52;0
open air;159.1;58128527;476059955;732;114,44;58,67;0
open air;151.1;58132975;476053728;722;155,56;57,23;0
open air;73.1;58140685;476051355;723;225;54,18;0
open air;73.2;58142760;476046314;721;206,57;51,65;0
open air;135.2;58173600;476035936;723;243,44;46,33;0
open air;135.1;58179531;476036529;725;275,19;46,64;0
open air;148.1;58187240;476040977;725;356,19;48,85;0
open air;147.1;58190502;476049576;720;18,43;52,03;0
shelter;74.1;58208982;476048943;732;310,24;53,69;183,99
open air;133.1;58182496;476080416;724;144,46;68,3;0
open air;136.1;58178048;476013399;713;174,29;35,4;0
open air;205.1;58117239;475553972;471;204,44;48,5;0
open air;204.1;58140091;475558809;486;251,57;54,67;0
open air;201.1;58277104;475734459;479;120,96;37,86;0
open air;269.1;58053222;475894960;746;59,04;61,2;0
shelter;144.2;58264552;475964097;649;152,1;5,34;11,5
shelter;67.1;58239231;476245630;733;30,07;86,2;440,23
shelter;173.1;58275673;476247932;731;196,93;102,86;308,91
shelter;175.1;58383440;476259769;702;247,62;73,41;325,86
shelter;178.1;58394503;476258401;703;119,06;67,77;380,43
open air;141.1;58393574;476216618;702;26,57;61,5;0
shelter;171.1;58361884;476199114;696;293,2;76,3;207,57
shelter;174.1;58339958;476187100;707;207,65;90,04;166,1
shelter;68.1;58352492;476088807;704;41,82;82,08;93,95
shelter;69.1;58539050;475896427;476;264,81;8,29;120,9
shelter;172.1;58382607;476236257;698;9,46;69,14;679,42
shelter;191.1;58328683;476216409;705;94,4;91,66;421,05
open air;132.1;58212044;476048444;733;135;53,99;121,76
shelter;77.1;58214078;476052361;732;127,41;55,29;215,46
shelter;92.1;58210616;476051510;730;303,69;54,76;232,47
shelter;149.1;58211952;476053514;731;300,96;56,19;286,04
shelter;158.1;58217570;476055154;732;104,93;56,69;317,43
shelter;145.1;58214704;476056585;733;324,46;57,73;377,12
open air;152.1;58188812;476099933;735;161,57;77,52;0
shelter;154.1;58222234;476060471;719;74,98;58,33;556,44
shelter;79.1;58169614;476163374;740;345,7;64,18;163,15
shelter;144.1;58222265;476188150;750;97,59;83,18;162,41
shelter;87.1;58227669;476179102;747;54,46;86,49;258,57
shelter;86.1;58217832;476169325;762;35,54;85;170,13
open air;130.1;58200196;476150890;754;321,71;80,12;0
open air;153.1;58200196;476145261;755;225;82,23;0
open air;131.1;58192690;476143384;750;210,96;79;0
shelter;78.1;58181431;476144510;751;90;75,44;0
shelter;164.1;58144230;476119104;732;243,44;71,36;105,54
open air;264.1;57969584;476010138;726;285,26;94,37;0
